"date_time","depth_to_gw","temp","ec"
"3/21/2023 12:00","4.85","11.764","1300.5"
"3/21/2023 16:00","4.848","11.75","1284.6"
"3/21/2023 20:00","4.8455","11.72","1280"
"3/22/2023 0:00","4.8481","11.718","1279.5"
"3/22/2023 4:00","4.848","11.75","1281.4"
"3/22/2023 8:00","4.8447","11.736","1278.3"
"3/22/2023 12:00","4.8494","11.725","1277.1"
"3/22/2023 16:00","4.8497","11.718","1277.3"
"3/22/2023 20:00","4.8462","11.721","1276.7"
"3/23/2023 0:00","4.8482","11.696","1276.7"
"3/23/2023 4:00","4.8459","11.715","1276"
"3/23/2023 8:00","4.848","11.71","1273.9"
"3/23/2023 12:00","4.8514","11.691","1271.6"
"3/23/2023 16:00","4.8462","11.686","1271.7"
"3/23/2023 20:00","4.8463","11.692","1271.3"
"3/24/2023 0:00","4.8493","11.699","1271.2"
"3/24/2023 4:00","4.8535","11.677","1270"
"3/24/2023 8:00","4.8506","11.685","1267.5"
"3/24/2023 12:00","4.8584","11.684","1269.1"
"3/24/2023 16:00","4.8529","11.684","1268.1"
"3/24/2023 20:00","4.8494","11.658","1268.1"
"3/25/2023 0:00","4.8569","11.671","1266.1"
"3/25/2023 4:00","4.8566","11.666","1265.8"
"3/25/2023 8:00","4.8526","11.66","1266.4"
"3/25/2023 12:00","4.8642","11.654","1265.2"
"3/25/2023 16:00","4.8592","11.646","1263"
"3/25/2023 20:00","4.8604","11.65","1263.6"
"3/26/2023 0:00","4.8651","11.642","1261.3"
"3/26/2023 4:00","4.8702","11.632","1261.6"
"3/26/2023 8:00","4.8705","11.669","1263.5"
"3/26/2023 12:00","4.8747","11.623","1260.1"
"3/26/2023 16:00","4.8756","11.625","1260.1"
"3/26/2023 20:00","4.8748","11.641","1259.8"
"3/27/2023 0:00","4.8835","11.626","1258.7"
"3/27/2023 4:00","4.8809","11.603","1259.6"
"3/27/2023 8:00","4.874","11.613","1257.1"
"3/27/2023 12:00","4.8772","11.598","1258.1"
"3/27/2023 16:00","4.8677","11.585","1258.2"
"3/27/2023 20:00","4.8774","11.604","1257"
"3/28/2023 0:00","4.8817","11.588","1254.6"
"3/28/2023 4:00","4.8866","11.567","1259.6"
"3/28/2023 8:00","4.887","11.582","1257.2"
"3/28/2023 12:00","4.8777","11.575","1257.8"
"3/28/2023 16:00","4.8841","11.558","1260.5"
"3/28/2023 20:00","4.887","11.58","1251.6"
"3/29/2023 0:00","4.8944","11.538","1255.8"
"3/29/2023 4:00","4.8959","11.551","1253.9"
"3/29/2023 8:00","4.8956","11.535","1256.7"
"3/29/2023 12:00","4.9015","11.528","1257.9"
"3/29/2023 16:00","4.9011","11.542","1257.2"
"3/29/2023 20:00","4.8981","11.524","1254"
"3/30/2023 0:00","4.8994","11.525","1253.4"
"3/30/2023 4:00","4.9022","11.527","1256.6"
"3/30/2023 8:00","4.8997","11.525","1259.3"
"3/30/2023 12:00","4.9041","11.528","1242.3"
"3/30/2023 16:00","4.9005","11.535","1255.9"
"3/30/2023 20:00","4.8994","11.506","1257.6"
"3/31/2023 0:00","4.903","11.513","1255.9"
"3/31/2023 4:00","4.9002","11.497","1259"
"3/31/2023 8:00","4.899","11.499","1258.1"
"3/31/2023 12:00","4.9035","11.479","1260.5"
"3/31/2023 16:00","4.9032","11.487","1258.4"
"3/31/2023 20:00","4.9038","11.486","1260.5"
"4/1/2023 0:00","4.8924","11.473","1263.4"
"4/1/2023 4:00","4.894","11.473","1262.7"
"4/1/2023 8:00","4.8938","11.482","1263.5"
"4/1/2023 12:00","4.8968","11.472","1263.7"
"4/1/2023 16:00","4.8936","11.465","1267.1"
"4/1/2023 20:00","4.8938","11.461","1266"
"4/2/2023 0:00","4.8967","11.467","1267.7"
"4/2/2023 4:00","4.8979","11.453","1269.6"
"4/2/2023 8:00","4.8963","11.443","1266.8"
"4/2/2023 12:00","4.8973","11.445","1267.5"
"4/2/2023 16:00","4.8997","11.436","1268.9"
"4/2/2023 20:00","4.8988","11.437","1271.8"
"4/3/2023 0:00","4.9017","11.431","1269.9"
"4/3/2023 4:00","4.9013","11.454","1270.2"
"4/3/2023 8:00","4.8994","11.469","1272.6"
"4/3/2023 12:00","4.9043","11.428","1269.9"
"4/3/2023 16:00","4.9037","11.418","1271.8"
"4/3/2023 20:00","4.9001","11.452","1271.8"
"4/4/2023 0:00","4.9086","11.446","1272.4"
"4/4/2023 4:00","4.9","11.435","1274.6"
"4/4/2023 8:00","4.8993","11.428","1278.5"
"4/4/2023 12:00","4.8993","11.403","1277.6"
"4/4/2023 16:00","4.8949","11.399","1276.5"
"4/4/2023 20:00","4.8938","11.413","1278.1"
"4/5/2023 0:00","4.8935","11.409","1280.3"
"4/5/2023 4:00","4.8936","11.438","1279.3"
"4/5/2023 8:00","4.892","11.427","1279"
"4/5/2023 12:00","4.892","11.395","1276.5"
"4/5/2023 16:00","4.889","11.41","1278.2"
"4/5/2023 20:00","4.8818","11.405","1277.3"
"4/6/2023 0:00","4.8839","11.409","1277.4"
"4/6/2023 4:00","4.8834","11.394","1277.1"
"4/6/2023 8:00","4.8803","11.392","1276"
"4/6/2023 12:00","4.8816","11.405","1273.6"
"4/6/2023 16:00","4.8763","11.395","1272"
"4/6/2023 20:00","4.8746","11.391","1269.8"
"4/7/2023 0:00","4.8735","11.365","1267.7"
"4/7/2023 4:00","4.8686","11.377","1268.5"
"4/7/2023 8:00","4.865","11.375","1265.7"
"4/7/2023 12:00","4.8652","11.364","1266.2"
"4/7/2023 16:00","4.8617","11.371","1267.1"
"4/7/2023 20:00","4.8582","11.372","1263.5"
"4/8/2023 0:00","4.8614","11.358","1261.8"
"4/8/2023 4:00","4.8564","11.355","1258.8"
"4/8/2023 8:00","4.8541","11.374","1259.3"
"4/8/2023 12:00","4.8559","11.35","1258.5"
"4/8/2023 16:00","4.8561","11.345","1256.2"
"4/8/2023 20:00","4.8503","11.333","1254.8"
"4/9/2023 0:00","4.8523","11.332","1254.8"
"4/9/2023 4:00","4.8512","11.337","1239.9"
"4/9/2023 8:00","4.8476","11.321","1239"
"4/9/2023 12:00","4.849","11.337","1250.9"
"4/9/2023 16:00","4.8469","11.338","1249.1"
"4/9/2023 20:00","4.8398","11.362","1234"
"4/10/2023 0:00","4.8412","11.333","1234.7"
"4/10/2023 4:00","4.8406","11.33","1234.8"
"4/10/2023 8:00","4.8385","11.331","1246.6"
"4/10/2023 12:00","4.8425","11.324","1230.7"
"4/10/2023 16:00","4.8338","11.34","1227.8"
"4/10/2023 20:00","4.8304","11.338","1243.1"
"4/11/2023 0:00","4.8313","11.317","1241.4"
"4/11/2023 4:00","4.8314","11.298","1226.2"
"4/11/2023 8:00","4.8354","11.305","1240.6"
"4/11/2023 12:00","4.8263","11.318","1226.1"
"4/11/2023 16:00","4.8254","11.313","1223.5"
"4/11/2023 20:00","4.8109","11.311","1222.1"
"4/12/2023 0:00","4.8096","11.298","1221.8"
"4/12/2023 4:00","4.8149","11.311","1219.2"
"4/12/2023 8:00","4.8133","11.289","1216.5"
"4/12/2023 12:00","4.8125","11.296","1216.1"
"4/12/2023 16:00","4.8082","11.323","1229"
"4/12/2023 20:00","4.8072","11.294","1218.9"
"4/13/2023 0:00","4.8097","11.294","1214.4"
"4/13/2023 4:00","4.8033","11.269","1211"
"4/13/2023 8:00","4.7998","11.29","1211.1"
"4/13/2023 12:00","4.8013","11.282","1210"
"4/13/2023 16:00","4.7965","11.309","1215.3"
"4/13/2023 20:00","4.792","11.287","1211"
"4/14/2023 0:00","4.7939","11.27","1206.8"
"4/14/2023 4:00","4.7937","11.268","1203.4"
"4/14/2023 8:00","4.7924","11.278","1201.8"
"4/14/2023 12:00","4.7931","11.287","1201.4"
"4/14/2023 16:00","4.7857","11.291","1201.4"
"4/14/2023 20:00","4.7772","11.299","1197.4"
"4/15/2023 0:00","4.7829","11.29","1197.4"
"4/15/2023 4:00","4.78","11.295","1195.9"
"4/15/2023 8:00","4.7748","11.269","1197.6"
"4/15/2023 12:00","4.7799","11.283","1195"
"4/15/2023 16:00","4.7711","11.295","1192.2"
"4/15/2023 20:00","4.7666","11.308","1190.2"
"4/16/2023 0:00","4.7691","11.304","1191.7"
"4/16/2023 4:00","4.7668","11.302","1193.5"
"4/16/2023 8:00","4.7669","11.317","1201.4"
"4/16/2023 12:00","4.7696","11.299","1201.1"
"4/16/2023 16:00","4.7666","11.288","1200.5"
"4/16/2023 20:00","4.7616","11.318","1200"
"4/17/2023 0:00","4.7621","11.297","1201.1"
"4/17/2023 4:00","4.7607","11.281","1200.8"
"4/17/2023 8:00","4.7569","11.306","1203.8"
"4/17/2023 12:00","4.7578","11.301","1200.2"
"4/17/2023 16:00","4.7581","11.299","1200.4"
"4/17/2023 20:00","4.7534","11.305","1201.5"
"4/18/2023 0:00","4.7521","11.306","1203.8"
"4/18/2023 4:00","4.7505","11.295","1203.3"
"4/18/2023 8:00","4.7485","11.297","1203.1"
"4/18/2023 12:00","4.7494","11.309","1200.9"
"4/18/2023 16:00","4.747","11.291","1207.7"
"4/18/2023 20:00","4.7455","11.294","1201.9"
"4/19/2023 0:00","4.7476","11.293","1198.6"
"4/19/2023 4:00","4.745","11.299","1205.1"
"4/19/2023 8:00","4.7393","11.299","1204"
"4/19/2023 12:00","4.7381","11.288","1204.8"
"4/19/2023 16:00","4.7359","11.3","1196.6"
"4/19/2023 20:00","4.732","11.286","1204"
"4/20/2023 0:00","4.7357","11.291","1204.2"
"4/20/2023 4:00","4.7343","11.287","1209.1"
"4/20/2023 8:00","4.7333","11.281","1206.6"
"4/20/2023 12:00","4.7377","11.281","1206.1"
"4/20/2023 16:00","4.7339","11.276","1205.8"
"4/20/2023 20:00","4.7309","11.279","1205.4"
"4/21/2023 0:00","4.7308","11.272","1209.2"
"4/21/2023 4:00","4.7296","11.288","1206"
"4/21/2023 8:00","4.7323","11.271","1208.7"
"4/21/2023 12:00","4.7344","11.282","1206.4"
"4/21/2023 16:00","4.7334","11.273","1206.1"
"4/21/2023 20:00","4.7267","11.259","1207.1"
"4/22/2023 0:00","4.7289","11.26","1205.6"
"4/22/2023 4:00","4.7286","11.272","1207.1"
"4/22/2023 8:00","4.7277","11.268","1207.1"
"4/22/2023 12:00","4.7309","11.265","1202.8"
"4/22/2023 16:00","4.7293","11.247","1204.1"
"4/22/2023 20:00","4.7222","11.245","1206.2"
"4/23/2023 0:00","4.7272","11.268","1206"
"4/23/2023 4:00","4.7245","11.253","1206.4"
"4/23/2023 8:00","4.7258","11.255","1206.9"
"4/23/2023 12:00","4.7287","11.244","1206.4"
"4/23/2023 16:00","4.7258","11.247","1201.6"
"4/23/2023 20:00","4.721","11.239","1204.6"
"4/24/2023 0:00","4.7234","11.248","1204.2"
"4/24/2023 4:00","4.7253","11.232","1203.2"
"4/24/2023 8:00","4.7241","11.239","1194.7"
"4/24/2023 12:00","4.7226","11.236","1205.3"
"4/24/2023 16:00","4.7177","11.24","1202"
"4/24/2023 20:00","4.7183","11.238","1200.5"
"4/25/2023 0:00","4.722","11.229","1200.6"
"4/25/2023 4:00","4.7209","11.224","1200.2"
"4/25/2023 8:00","4.7139","11.234","1202.3"
"4/25/2023 12:00","4.7225","11.238","1202.7"
"4/25/2023 16:00","4.7179","11.224","1201.3"
"4/25/2023 20:00","4.7152","11.217","1202.6"
"4/26/2023 0:00","4.7172","11.223","1201.2"
"4/26/2023 4:00","4.7184","11.22","1198.6"
"4/26/2023 8:00","4.7193","11.221","1199.6"
"4/26/2023 12:00","4.7189","11.217","1198.1"
"4/26/2023 16:00","4.7213","11.225","1199"
"4/26/2023 20:00","4.7184","11.223","1200.2"
"4/27/2023 0:00","4.721","11.211","1198.1"
"4/27/2023 4:00","4.7235","11.206","1197.5"
"4/27/2023 8:00","4.7235","11.213","1197.6"
"4/27/2023 12:00","4.7237","11.206","1196.9"
"4/27/2023 16:00","4.7233","11.199","1198.8"
"4/27/2023 20:00","4.7223","11.208","1195"
"4/28/2023 0:00","4.7245","11.202","1198.7"
"4/28/2023 4:00","4.7248","11.202","1196.1"
"4/28/2023 8:00","4.7271","11.197","1196"
"4/28/2023 14:00","4.75","11.148","1077"
"4/28/2023 18:00","4.7481","11.152","1076.4"
"4/28/2023 22:00","4.7476","11.15","1075.5"
"4/29/2023 2:00","4.7453","11.146","1075.4"
"4/29/2023 6:00","4.7434","11.159","1074.3"
"4/29/2023 10:00","4.7437","11.155","1073.7"
"4/29/2023 14:00","4.7385","11.139","1073.6"
"4/29/2023 18:00","4.7365","11.143","1072.5"
"4/29/2023 22:00","4.742","11.134","1072.8"
"4/30/2023 2:00","4.7436","11.131","1072.2"
"4/30/2023 6:00","4.748","11.136","1071.4"
"4/30/2023 10:00","4.7601","11.134","1071"
"4/30/2023 14:00","4.7542","11.13","1070"
"4/30/2023 18:00","4.7539","11.129","1070.3"
"4/30/2023 22:00","4.7546","11.135","1069.9"
"5/1/2023 2:00","4.7536","11.137","1069.1"
"5/1/2023 6:00","4.7516","11.134","1068.9"
"5/1/2023 10:00","4.7501","11.121","1068.4"
"5/1/2023 14:00","4.7468","11.125","1068.4"
"5/1/2023 18:00","4.7435","11.125","1067.5"
"5/1/2023 22:00","4.7426","11.12","1067.6"
"5/2/2023 2:00","4.7428","11.117","1067.4"
"5/2/2023 6:00","4.7421","11.132","1067.1"
"5/2/2023 10:00","4.742","11.117","1067.1"
"5/2/2023 14:00","4.7408","11.113","1066.8"
"5/2/2023 18:00","4.7411","11.121","1066.4"
"5/2/2023 22:00","4.741","11.115","1065.9"
"5/3/2023 2:00","4.7409","11.117","1065.6"
"5/3/2023 6:00","4.7442","11.112","1065.7"
"5/3/2023 10:00","4.7444","11.106","1065.2"
"5/3/2023 14:00","4.7432","11.11","1064.8"
"5/3/2023 18:00","4.7421","11.109","1064.8"
"5/3/2023 22:00","4.7413","11.105","1064.3"
"5/4/2023 2:00","4.7402","11.104","1064.1"
"5/4/2023 6:00","4.7398","11.103","1064"
"5/4/2023 10:00","4.7389","11.098","1063.9"
"5/4/2023 14:00","4.7373","11.103","1063.3"
"5/4/2023 18:00","4.7357","11.09","1063.5"
"5/4/2023 22:00","4.7361","11.092","1063.7"
"5/5/2023 2:00","4.7352","11.097","1063.7"
"5/5/2023 6:00","4.7353","11.099","1062.6"
"5/5/2023 10:00","4.7353","11.091","1062.9"
"5/5/2023 14:00","4.7342","11.089","1062.7"
"5/5/2023 18:00","4.7332","11.086","1062.6"
"5/5/2023 22:00","4.7347","11.092","1062.3"
"5/6/2023 2:00","4.7341","11.088","1062.3"
"5/6/2023 6:00","4.7343","11.092","1062"
"5/6/2023 10:00","4.7334","11.084","1062.2"
"5/6/2023 14:00","4.7304","11.098","1061.7"
"5/6/2023 18:00","4.7333","11.089","1061.7"
"5/6/2023 22:00","4.7349","11.092","1061.3"
"5/7/2023 2:00","4.735","11.078","1061.6"
"5/7/2023 6:00","4.7358","11.078","1061.7"
"5/7/2023 10:00","4.7431","11.072","1061.5"
"5/7/2023 14:00","4.7421","11.086","1061.5"
"5/7/2023 18:00","4.7412","11.076","1061.1"
"5/7/2023 22:00","4.741","11.09","1061"
"5/8/2023 2:00","4.7402","11.081","1061.1"
"5/8/2023 6:00","4.7401","11.074","1060.5"
"5/8/2023 10:00","4.7484","11.065","1061.1"
"5/8/2023 14:00","4.7499","11.067","1060.9"
"5/8/2023 18:00","4.7463","11.066","1061"
"5/8/2023 22:00","4.7454","11.065","1060.6"
"5/9/2023 2:00","4.7443","11.076","1060.4"
"5/9/2023 6:00","4.745","11.066","1060.8"
"5/9/2023 10:00","4.743","11.058","1060.7"
"5/9/2023 14:00","4.7414","11.055","1060.6"
"5/9/2023 18:00","4.74","11.07","1060.2"
"5/9/2023 22:00","4.7427","11.064","1059.9"
"5/10/2023 2:00","4.7403","11.064","1060.2"
"5/10/2023 6:00","4.7409","11.052","1059.3"
"5/10/2023 10:00","4.743","11.068","1059.5"
"5/10/2023 14:00","4.7408","11.057","1059.8"
"5/10/2023 18:00","4.7382","11.052","1059.3"
"5/10/2023 22:00","4.7483","11.057","1059.3"
"5/11/2023 2:00","4.7523","11.064","1058.7"
"5/11/2023 6:00","4.7497","11.058","1058.6"
"5/11/2023 10:00","4.7493","11.062","1058.7"
"5/11/2023 14:00","4.7498","11.051","1058.8"
"5/11/2023 18:00","4.7495","11.062","1058.6"
"5/11/2023 22:00","4.7513","11.055","1058.2"
"5/12/2023 2:00","4.7516","11.053","1058.2"
"5/12/2023 6:00","4.7528","11.054","1058.1"
"5/12/2023 10:00","4.7529","11.055","1058"
"5/12/2023 14:00","4.7536","11.05","1057.8"
"5/12/2023 18:00","4.7547","11.042","1057.9"
"5/12/2023 22:00","4.762","11.042","1057.7"
"5/13/2023 2:00","4.7661","11.05","1057.3"
"5/13/2023 6:00","4.7643","11.049","1057.3"
"5/13/2023 10:00","4.7635","11.046","1057.4"
"5/13/2023 14:00","4.7646","11.053","1057.2"
"5/13/2023 18:00","4.7654","11.045","1057.2"
"5/13/2023 22:00","4.7665","11.043","1057.1"
"5/14/2023 2:00","4.7673","11.043","1056.8"
"5/14/2023 6:00","4.7684","11.048","1056.5"
"5/14/2023 10:00","4.7689","11.046","1056.7"
"5/14/2023 14:00","4.7674","11.045","1056.7"
"5/14/2023 18:00","4.7664","11.048","1056.2"
"5/14/2023 22:00","4.7707","11.047","1056.3"
"5/15/2023 2:00","4.7622","11.038","1056.2"
"5/15/2023 6:00","4.7552","11.04","1056"
"5/15/2023 10:00","4.7535","11.049","1055.9"
"5/15/2023 14:00","4.7591","11.046","1056"
"5/15/2023 18:00","4.7605","11.036","1055.7"
"5/15/2023 22:00","4.7704","11.037","1055"
"5/16/2023 2:00","4.779","11.051","1055.3"
"5/16/2023 6:00","4.785","11.056","1055.2"
"5/16/2023 10:00","4.7825","11.043","1055.3"
"5/16/2023 14:00","4.7837","11.037","1055.4"
"5/16/2023 18:00","4.7842","11.044","1055.2"
"5/16/2023 22:00","4.785","11.048","1054.8"
"5/17/2023 2:00","4.785","11.051","1055.2"
"5/17/2023 6:00","4.7882","11.04","1054.9"
"5/17/2023 10:00","4.7892","11.038","1055"
"5/17/2023 14:00","4.7892","11.045","1055.2"
"5/17/2023 18:00","4.799","11.045","1054.9"
"5/17/2023 22:00","4.7935","11.05","1055.1"
"5/18/2023 2:00","4.7898","11.049","1055.2"
"5/18/2023 6:00","4.7879","11.05","1055.2"
"5/18/2023 10:00","4.7888","11.047","1054.9"
"5/18/2023 14:00","4.7849","11.031","1055.1"
"5/18/2023 18:00","4.7807","11.045","1054.8"
"5/18/2023 22:00","4.7768","11.042","1055.4"
"5/19/2023 2:00","4.7723","11.04","1055.1"
"5/19/2023 6:00","4.7716","11.038","1055.1"
"5/19/2023 10:00","4.7747","11.035","1055.1"
"5/19/2023 14:00","4.7688","11.038","1054.9"
"5/19/2023 18:00","4.764","11.043","1054.9"
"5/19/2023 22:00","4.7614","11.037","1054.9"
"5/20/2023 2:00","4.7578","11.046","1055"
"5/20/2023 6:00","4.755","11.036","1055.1"
"5/20/2023 10:00","4.7516","11.038","1055"
"5/20/2023 14:00","4.7476","11.04","1054.9"
"5/20/2023 18:00","4.7437","11.038","1054.9"
"5/20/2023 22:00","4.7425","11.056","1054.9"
"5/21/2023 2:00","4.7396","11.042","1055"
"5/21/2023 6:00","4.7371","11.041","1054.9"
"5/21/2023 10:00","4.7343","11.042","1054.9"
"5/21/2023 14:00","4.7321","11.063","1054.7"
"5/21/2023 18:00","4.7301","11.048","1054.8"
"5/21/2023 22:00","4.729","11.041","1054.8"
"5/22/2023 2:00","4.729","11.048","1054.6"
"5/22/2023 6:00","4.7301","11.049","1054.3"
"5/22/2023 10:00","4.7289","11.045","1054"
"5/22/2023 14:00","4.7256","11.046","1054.1"
"5/22/2023 18:00","4.72","11.048","1054.1"
"5/22/2023 22:00","4.7221","11.057","1054"
"5/23/2023 2:00","4.7198","11.049","1054.1"
"5/23/2023 6:00","4.7173","11.049","1053.7"
"5/23/2023 10:00","4.7152","11.05","1054"
"5/23/2023 14:00","4.7095","11.06","1053.5"
"5/23/2023 18:00","4.7086","11.054","1053.7"
"5/23/2023 22:00","4.7152","11.064","1053.1"
"5/24/2023 2:00","4.7137","11.052","1053.5"
"5/24/2023 6:00","4.7102","11.056","1053.4"
"5/24/2023 10:00","4.7085","11.057","1053.2"
"5/24/2023 14:00","4.7085","11.053","1053"
"5/24/2023 18:00","4.7144","11.062","1053"
"5/24/2023 22:00","4.7083","11.061","1052.8"
"5/25/2023 2:00","4.7077","11.054","1052.9"
"5/25/2023 6:00","4.7072","11.067","1052.3"
"5/25/2023 10:00","4.7098","11.064","1052.9"
"5/25/2023 14:00","4.7114","11.06","1052.8"
"5/25/2023 18:00","4.7109","11.053","1052.8"
